得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
111.39,128055,长青转2,109.010,-1.75%,长青股份,7.89,-1.74%,1.25,7.410,106.48,2.38%,AA,5.19,9.63,21.5%,25-02-27,5.718,1.04%,0.55%,1215.61
111.392,128056,今飞转债,98.182,-0.44%,今飞凯达,5.88,-1.84%,2.09,6.780,86.73,13.21%,A+,4.75,8.81,16.6%,25-02-28,5.721,3.90%,3.22%,93.33
111.57000000000001,123014,凯发转债,105.200,-9.93%,凯发电气,8.06,-0.37%,2.08,8.150,98.90,6.37%,A+,5.71,10.60,13.9%,23-07-27,4.126,0.99%,0.56%,8422.71
111.94,113519,长久转债,103.450,-0.16%,长久物流,11.30,-0.35%,2.35,11.850,95.36,8.49%,AA,8.29,15.40,11.0%,24-11-07,5.411,2.94%,2.26%,309.28
111.96,110052,贵广转债,113.600,-0.10%,贵广网络,9.39,1.84%,2.09,8.130,115.50,-1.64%,AA+,5.69,10.57,16.3%,25-03-05,5.734,0.83%,0.25%,8613.26
112.14,113516,苏农转债,104.550,-0.43%,苏农银行,5.51,-0.36%,0.81,5.670,97.18,7.59%,AA+,-,7.37,13.0%,24-08-01,5.142,2.02%,1.46%,731.53
112.14999999999999,113503,泰晶转债,103.960,-0.74%,泰晶科技,17.20,-0.64%,4.33,17.900,96.09,8.19%,AA,12.53,23.27,7.9%,23-12-15,4.512,1.88%,1.35%,4942.60
112.19,123015,蓝盾转债,104.990,-0.69%,蓝盾股份,5.70,-3.39%,1.50,5.820,97.94,7.20%,AA,4.07,7.57,1.4%,24-08-13,5.175,1.51%,1.04%,193.84
112.92,110047,山鹰转债,107.250,-0.65%,山鹰纸业,3.39,-1.45%,1.14,3.340,101.50,5.67%,AA+,2.34,4.34,14.8%,24-11-21,5.449,1.89%,1.28%,418.10
112.992,128065,雅化转债,94.632,-0.12%,雅化集团,7.18,-1.91%,2.65,8.980,79.96,18.36%,AA,6.29,11.67,11.6%,25-04-16,5.849,2.87%,2.49%,2595.04
113.378,128066,亚泰转债,97.298,0.00%,亚泰国际,14.66,-1.54%,1.86,17.490,83.82,16.08%,AA-,12.24,22.74,18.2%,25-04-17,5.852,3.43%,2.86%,225.91
113.703,128050,钧达转债,99.693,-0.08%,钧达股份,19.01,-0.73%,2.60,21.740,87.44,14.01%,AA-,15.22,28.26,13.8%,24-12-10,5.501,4.16%,3.38%,407.47
113.85000000000001,113511,千禾转债,108.900,-0.53%,千禾味业,19.00,-0.31%,6.38,18.310,103.77,4.95%,AA-,12.82,23.80,4.1%,24-06-19,5.025,0.77%,0.29%,930.07
113.878,128027,崇达转债,107.838,-0.93%,崇达技术,15.00,0.00%,4.12,14.750,101.69,6.04%,AA,10.32,19.18,6.1%,23-12-15,4.512,0.61%,0.17%,636.87
