得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
108.13,128053,尚荣转债,103.000,-1.44%,尚荣医疗,4.84,-2.62%,1.45,4.940,97.98,5.13%,AA,3.46,6.42,22.0%,25-02-14,5.699,2.04%,1.54%,525.81
108.19,113025,明泰转债,96.620,-0.45%,明泰铝业,9.95,-1.49%,0.97,11.490,86.60,11.57%,AA,8.04,14.94,31.3%,25-04-09,5.847,3.16%,2.66%,3040.98
108.67,110047,山鹰转债,104.800,-0.29%,山鹰纸业,3.37,0.00%,1.14,3.340,100.90,3.87%,AA+,2.34,4.34,14.9%,24-11-21,5.466,2.32%,1.71%,1106.66
108.75,113525,台华转债,103.420,-0.08%,台华新材,11.35,2.99%,2.37,11.560,98.18,5.33%,AA,8.09,15.03,6.1%,24-12-16,5.534,2.02%,1.51%,663.29
109.07,127007,湖广转债,106.350,-3.32%,湖北广电,8.20,-6.71%,0.83,7.920,103.54,2.72%,AA+,5.54,10.30,23.7%,24-06-28,5.066,1.34%,0.84%,2932.13
109.38,123012,万顺转债,102.800,-0.21%,万顺新材,5.17,0.39%,1.09,5.360,96.46,6.58%,AA-,3.75,6.97,4.9%,24-07-20,5.126,1.60%,1.18%,138.63
109.39,128068,和而转债,100.000,0.00%,和而泰,8.31,-4.70%,4.29,9.090,91.42,9.39%,AA-,6.36,11.82,7.7%,25-06-04,6.000,2.14%,1.73%,0.00
109.64999999999999,113519,长久转债,101.820,-1.58%,长久物流,11.19,-6.59%,2.33,11.850,94.43,7.83%,AA,8.29,15.40,11.1%,24-11-07,5.427,3.24%,2.56%,1580.21
109.67999999999999,113527,维格转债,97.080,-0.43%,维格娜丝,9.07,-1.09%,0.89,10.520,86.22,12.60%,AA,7.36,13.68,32.6%,25-01-23,5.638,4.02%,3.35%,596.66
110.061,128062,亚药转债,99.001,-0.75%,亚太药业,14.53,-1.76%,3.03,16.300,89.14,11.06%,AA,11.41,21.19,12.4%,25-04-02,5.827,3.43%,2.81%,1243.52
110.389,128048,张行转债,100.669,-0.62%,张家港行,5.56,-2.11%,0.98,6.060,91.75,9.72%,AA+,-,7.88,24.9%,24-11-12,5.441,2.41%,1.92%,5439.47
110.65,128039,三力转债,104.780,0.51%,三力士,5.77,-2.53%,2.03,5.830,98.97,5.87%,AA-,4.08,7.58,6.8%,24-06-07,5.008,1.11%,0.71%,922.46
110.83,110046,圆通转债,110.860,-1.33%,圆通速递,11.91,-0.83%,2.84,10.740,110.89,-0.03%,AA+,7.52,13.96,10.8%,24-11-19,5.460,0.79%,0.27%,16517.26
110.85000000000001,113514,威帝转债,98.900,-0.98%,威帝股份,5.23,-4.21%,2.84,5.920,88.34,11.95%,A+,4.14,7.70,10.6%,23-07-20,4.123,3.00%,2.46%,160.97
110.981,123014,凯发转债,100.191,-0.10%,凯发电气,7.37,-3.28%,1.91,8.150,90.43,10.79%,A+,5.71,10.60,15.2%,23-07-27,4.142,2.20%,1.76%,71.21
111.56,128049,华源转债,101.000,-0.76%,华源控股,6.87,-3.92%,1.44,7.520,91.36,10.56%,AA-,5.26,9.78,18.7%,24-11-27,5.482,2.57%,2.03%,75.36
111.74,128063,未来转债,101.750,-1.55%,德尔未来,8.03,-3.83%,3.19,8.680,92.51,9.99%,AA-,6.08,11.28,11.7%,25-04-03,5.830,4.22%,3.37%,717.61
112.08,128025,特一转债,105.000,-0.51%,特一药业,15.15,-1.69%,2.98,15.450,98.06,7.08%,AA-,10.81,20.09,11.2%,23-12-06,4.504,1.12%,0.69%,43.71
112.13300000000001,128055,长青转2,109.123,-0.51%,长青股份,7.85,3.29%,1.24,7.410,105.94,3.01%,AA,5.19,9.63,21.6%,25-02-27,5.734,1.02%,0.53%,2361.56
